,Month,Measure,Inflation Index
776,2006-09,Train,79.54
777,2006-09,Transport Services,87.38
778,2006-09,Transport,86.15
779,2006-09,All Items,89.6
780,2006-08,Train,79.54
781,2006-08,Transport Services,92.16
782,2006-08,Transport,87.76
783,2006-08,All Items,89.8
784,2006-07,Train,79.54
785,2006-07,Transport Services,92.11
786,2006-07,Transport,87.49
787,2006-07,All Items,89.5
788,2006-06,Train,78.9
789,2006-06,Transport Services,87.91
790,2006-06,Transport,86.54
791,2006-06,All Items,89.65
792,2006-05,Train,78.9
793,2006-05,Transport Services,85.69
794,2006-05,Transport,86.59
795,2006-05,All Items,89.65
796,2006-04,Train,78.91
797,2006-04,Transport Services,86.94
798,2006-04,Transport,86.09
799,2006-04,All Items,89.27
800,2006-03,Train,79.15
801,2006-03,Transport Services,86.14
802,2006-03,Transport,84.98
803,2006-03,All Items,88.89
804,2006-02,Train,79.15
805,2006-02,Transport Services,86.25
806,2006-02,Transport,85.1
807,2006-02,All Items,88.64
808,2006-01,Train,77.51
809,2006-01,Transport Services,85.97
810,2006-01,Transport,84.79
811,2006-01,All Items,88.3
812,2005-12,Train,77.63
813,2005-12,Transport Services,88.5
814,2005-12,Transport,84.1
815,2005-12,All Items,88.39
816,2005-11,Train,77.64
817,2005-11,Transport Services,87.3
818,2005-11,Transport,84.5
819,2005-11,All Items,88.28
820,2005-10,Train,77.64
821,2005-10,Transport Services,87.3
822,2005-10,Transport,85.7
823,2005-10,All Items,88.46
824,2005-09,Train,77.64
825,2005-09,Transport Services,87.1
826,2005-09,Transport,85.6
827,2005-09,All Items,88.48
828,2005-08,Train,77.64
829,2005-08,Transport Services,89.0
830,2005-08,Transport,84.8
831,2005-08,All Items,88.14
832,2005-07,Train,77.64
833,2005-07,Transport Services,87.7
834,2005-07,Transport,84.1
835,2005-07,All Items,87.8
836,2005-06,Train,77.04
837,2005-06,Transport Services,84.6
838,2005-06,Transport,82.9
839,2005-06,All Items,87.93
840,2005-05,Train,77.04
841,2005-05,Transport Services,84.0
842,2005-05,Transport,82.5
843,2005-05,All Items,87.83
844,2005-04,Train,77.04
845,2005-04,Transport Services,84.8
